file,distinct
0,11
0,142
0,52
0,80
0,2
0,14
0,357
0,216
0,96
0,42
0,31
0,26
0,0
0,38
0,1
0,41
0,82
0,153
0,244
0,124
0,277
0,92
0,10
0,102
0,367
0,24
0,11
0,4
0,103
0,106
0,134
0,14
0,17
0,11
0,40
0,15
0,621
0,52
0,20
0,1
0,25
0,39
0,199
0,147
0,513
0,389
0,95
0,26
0,446
0,170
0,11
0,141
0,209
0,146
0,8
0,1006
0,39
0,209
0,183
0,145
0,19
0,228
0,13
0,0
0,542
0,284
0,268
0,20
0,10
0,5
0,417
0,19
0,143
0,3
0,3
0,5
0,5
0,5
0,4
0,4
0,65
0,153
0,554
0,268
0,1
0,5
0,0
0,301
0,34
0,0
0,5
0,0
0,1
0,12
0,23
0,11
0,11
0,454
0,2
0,0
0,135
0,0
0,5
0,21
0,106
0,427
0,54
0,22
0,20
0,96
0,24
0,4
0,2
0,7
0,28
0,187
0,47
0,152
0,138
0,4
0,23
0,31
0,38
0,50
0,17
0,1
0,81
0,34
0,85
0,0
0,0
0,94
0,11
0,160
0,26
0,0
0,0
0,7
0,1
0,214
0,168
0,11
0,149
0,115
0,24
0,103
0,71
0,176
0,26
0,103
0,69
0,74
0,33
0,155
0,64
0,84
0,13
0,33
0,37
0,62
0,1104
0,55
0,41
0,13
0,8
0,15
0,4
0,688
0,148
0,47
0,99
0,2
0,0
0,259
0,56
0,9
0,217
0,237
0,233
0,1
0,2
0,83
0,20
0,165
0,73
0,81
0,33
0,101
0,218
0,101
0,61
0,0
0,88
0,7
0,70
0,16
0,61
0,16
0,69
0,4
0,0
0,0
0,0
0,70
0,15
0,2
0,194
0,14
0,6
0,0
0,3
0,0
0,120
0,108
0,37
0,80
0,83
0,2008
0,31
0,0
0,69
0,445
0,253
0,39
0,70
0,17
0,60
0,64
0,31
0,13
0,29
0,4
0,26
0,29
0,37
0,140
0,152
0,72
0,280
0,209
0,359
0,72
0,4
0,71
0,218
0,271
0,2154
0,172
0,9
0,46
0,222
0,238
0,15
0,1
0,151
0,162
0,171
0,32
0,135
0,91
0,461
0,222
0,192
0,19
0,38
0,45
0,227
0,2
0,269
0,11
0,1
0,21
0,4
0,7
0,0
0,0
0,477
0,147
0,27
0,885
0,57
0,14
0,13
0,780
0,13
0,15
0,4
0,13
0,212
0,557
0,463
0,22
0,8
0,0
0,0
0,41
0,0
0,1
0,5
0,0
0,16
0,39
0,0
0,0
0,174
0,0
0,0
0,0
0,52
0,230
0,3
0,142
0,83
0,37
0,32
0,138
0,22
0,95
0,59
0,8
0,12
0,11
0,6
0,52
0,100
0,5
0,4
0,117
0,28
0,32
0,8
0,12
0,22
0,60
0,125
0,86
0,69
0,53
0,56
0,90
0,17
0,1
0,15
0,69
0,15
0,59
0,28
0,135
0,164
0,193
0,135
0,57
0,21
0,54
0,71
0,88
0,68
0,128
0,304
0,2
0,15
0,122
0,535
0,9
0,1255
0,36
0,285
0,603
0,246
0,129
0,317
0,246
0,597
0,354
0,79
0,59
0,146
0,134
0,9
0,16
0,60
0,31
0,400
0,31
0,37
0,0
0,121
0,437
0,27
0,75
0,32
0,205
0,0
0,38
0,25
0,240
0,0
0,105
0,21
0,54
0,15
0,20
0,46
0,761
0,185
0,0
0,504
0,17
0,13
0,0
0,21
0,92
0,17
0,9
0,99
0,37
0,403
0,6
0,3
0,1
0,0
0,0
0,0
0,0
0,0
0,9
0,3
0,0
0,84
0,100
0,110
0,0
0,2
0,278
0,9
0,4
0,495
0,21
0,24
0,4
0,0
0,6
0,309
0,30
0,102
0,10
0,4
0,67
0,2
0,42
0,30
0,6
0,23
0,116
0,181
0,61
0,33
0,289
0,59
0,34
0,74
0,96
0,347
0,4
0,1024
0,90
0,44
0,17
0,16
0,286
0,25
0,8
0,47
0,9
0,5
0,47
0,46
0,32
0,60
0,81
0,13
0,3
0,231
0,99
0,115
0,134
0,3
0,585
0,429
0,2
0,64
0,0
0,5
0,11
0,137
0,26
0,124
0,520
0,24
0,462
0,1
0,50
0,44
0,84
0,5
0,3
0,7
0,3
0,13
0,2
0,3
0,29
0,57
0,21
0,26
0,7
0,6
0,4
0,1
0,0
0,0
0,1
0,338
0,13
0,57
0,19
0,562
0,1460
0,212
0,109
0,32
0,81
0,1
0,0
0,0
0,5
0,73
0,64
0,46
0,9
0,2
0,2
0,2
0,17
0,1
0,19
0,25
0,3
0,0
0,128
0,35
0,29
0,59
0,10
0,4
0,79
0,1
0,6
0,3
0,6
0,2
0,4
0,234
0,7
0,54
0,4
0,93
0,51
0,46
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,463
0,0
0,4
0,9
0,16
0,6
0,543
0,148
0,207
0,49
0,160
0,50
0,14
0,3
0,553
0,31
0,77
0,346
0,37
0,19
0,531
0,508
0,513
0,11
0,0
0,66
0,168
0,20
0,29
0,3
0,10
0,49
0,0
0,0
0,1
0,5
0,0
0,0
0,0
0,0
0,2
0,255
0,1
0,0
0,0
0,156
0,10
0,12
0,11
0,1
0,0
0,13
0,18
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,385
0,19
0,17
0,85
0,34
0,100
0,146
0,11
0,0
0,68
0,9
0,31
0,0
0,1
0,0
0,0
0,0
0,377
0,4
0,0
0,0
0,21
0,293
0,20
0,177
0,60
0,160
0,8
0,15
0,7
0,195
0,6
0,74
0,59
0,124
0,8
0,14
0,59
0,54
0,9
0,18
0,11
0,0
0,0
0,30
0,145
0,74
0,229
0,30
0,16
0,23
0,61
0,0
0,0
0,103
0,38
0,7
0,0
0,0
0,0
0,0
0,33
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,388
0,64
0,82
0,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,142
0,265
0,17
0,15
0,20
0,4
0,5
0,2
0,5
0,4
0,18
0,8
0,206
0,327
0,17
0,64
0,70
0,44
0,7
0,17
0,19
0,11
0,449
0,0
0,6
0,11
0,35
0,30
0,67
0,7
0,84
0,123
0,31
0,8
0,945
0,1
0,8
0,19
0,76
0,68
0,18
0,7
0,23
0,0
0,0
0,50
0,758
0,16
0,2
0,87
0,78
0,14
0,23
0,12
0,55
0,36
0,2
0,31
0,83
0,40
0,34
0,261
0,40
0,211
0,137
0,271
0,165
0,117
0,109
0,162
0,123
0,31
0,38
0,109
0,146
0,85
0,195
0,174
0,143
0,121
0,103
0,120
0,15
0,131
0,136
0,159
0,304
0,74
0,498
0,29
0,428
0,4
0,0
0,0
0,1
0,973
0,32
0,0
0,0
0,0
0,132
0,74
0,36
0,658
0,315
0,0
0,275
0,85
0,267
0,57
0,35
0,423
0,54
0,75
0,16
0,78
0,54
0,24
0,107
0,13
0,24
0,1
0,8
0,9
0,0
0,32
0,52
0,44
0,29
0,20
0,33
0,1
0,2
0,4
0,21
0,0
0,51
0,66
0,8
0,0
0,2
0,45
0,0
0,0
0,7
0,3
0,1
0,6
0,0
0,17
0,16
0,292
0,109
0,2
0,4
0,44
0,29
0,194
0,3
0,106
0,0
0,1
0,0
0,14
0,4
0,87
0,56
0,47
0,17
0,0
0,48
0,0
0,57
0,56
0,17
0,0
0,0
0,0
0,145
0,0
0,92
0,21
0,15
0,218
0,18
0,159
0,84
0,1
0,0
0,0
0,203
0,138
0,2
0,149
0,207
0,13
0,0
0,31
0,12
0,20
0,21
0,25
0,27
0,3
0,1
0,39
0,41
0,11
0,4
0,13
0,7
0,3
0,12
0,16
0,3
0,3
0,4
0,9
0,1
0,1
0,40
0,11
0,53
0,14
0,18
0,29
0,34
0,20
0,0
0,0
0,0
0,22
0,26
0,26
0,6
0,5
0,2
0,169
0,34
0,3
0,2
0,1
0,0
0,1
0,0
0,2
0,1
0,0
0,1
0,1
0,190
0,156
0,32
0,133
0,56
0,18
0,20
0,2
0,1
0,20
0,26
0,16
0,28
0,40
0,28
0,75
0,57
0,121
0,289
0,26
0,58
0,53
0,4
0,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,30
0,50
0,3
0,17
0,19
0,125
0,224
0,68
0,60
0,188
0,57
0,2
0,1571
0,20
0,1
0,163
0,32
0,9
0,5
0,1
0,82
0,74
0,3
0,42
0,100
0,2
0,43
0,316
0,11
0,28
0,78
0,540
0,16
0,144
0,20
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,8
0,0
0,0
0,0
0,0
0,32
0,30
0,41
0,24
0,9
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,3
0,76
0,444
0,3
0,11
0,32
0,56
0,5
0,15
0,68
0,4
0,276
0,542
0,10
0,7
0,65
0,243
0,60
0,121
0,6
0,39
0,3
0,181
0,0
0,420
0,47
0,12
0,137
0,51
0,2
0,3
0,30
0,3
0,3
0,4
0,5
0,76
0,28
0,123
0,2
0,19
0,1
0,13
0,2
0,9
0,54
0,7
0,22
0,45
0,43
0,61
0,16
0,15
0,2
0,6
0,11
0,3
0,4
0,57
0,34
0,39
0,23
0,38
0,23
0,33
0,19
0,25
0,79
0,5
0,20
0,29
0,1
0,24
0,32
0,18
0,4
0,81
0,70
0,511
0,30
0,86
0,0
0,0
0,4
0,7
0,10
0,58
0,14
0,26
0,312
0,5
0,31
0,0
0,319
0,0
0,0
0,294
0,660
0,13
0,23
0,12
0,80
0,77
0,4
0,29
0,215
0,2
0,0
0,2
0,171
0,6
0,323
0,11
0,54
0,54
0,156
0,49
0,27
0,10
0,66
0,106
0,21
0,74
0,255
0,0
0,3734
0,1
0,932
0,1
0,19
0,0
0,13
0,16
0,27
0,5
0,267
0,61
0,44
0,30
0,83
0,3
0,14
0,0
0,0
0,0
0,100
0,5
0,31
0,707
0,17
0,31
0,26
0,13
0,29
0,48
0,0
0,5
0,3
0,751
0,50
0,15
0,56
0,5
0,18
0,15
0,0
0,22
0,48
0,48
0,39
0,3
0,12
0,30
0,62
0,54
0,178
0,57
0,19
0,12
0,68
0,2020
0,2
0,1
0,93
0,2
0,66
0,38
0,50
0,2
0,1
0,39
0,33
0,1
0,2
0,1
0,0
0,0
0,14
0,6
0,1
0,1
0,5
0,0
0,40
0,18
0,18
0,6
0,5
0,6
0,2
0,31
0,9
0,291
0,25
0,11
0,42
0,543
0,109
0,11
0,0
0,14
0,10
0,38
0,0
0,156
0,102
0,1
0,25
0,155
0,104
0,14
0,47
0,2
0,2
0,8
0,5
0,44
0,57
0,6
0,1
0,1
0,51
0,19
0,25
0,8
0,4
0,6
0,6
0,46
0,0
0,80
0,19
0,38
0,15
0,26
0,44
0,24
0,3
0,27
0,1
0,1
0,6
0,26
0,2
0,633
0,77
0,41
0,13
0,41
0,23
0,33
0,4
0,44
0,2
0,2
0,4
0,6
0,1
0,49
0,45
0,1
0,10
0,4
0,22
0,9
0,5
0,0
0,4
0,33
0,0
0,53
0,256
0,2250
0,370
0,34
0,47
0,35
0,16
0,39
0,28
0,81
0,11
0,17
0,19
0,7
0,1
0,36
0,47
0,38
0,54
0,23
0,7
0,14
0,44
0,2
0,2
0,14
0,11
0,0
0,8
0,0
0,0
0,31
0,289
0,47
0,3
0,9
0,37
0,6
0,0
0,5
0,13
0,40
0,42
0,36
0,42
0,83
0,2
0,0
0,0
0,1
0,0
0,22
0,28
0,5
0,4
0,19
0,137
0,59
0,9
0,76
0,257
0,141
0,27
0,9
0,0
0,0
0,62
0,0
0,504
0,92
0,54
0,89
0,10
0,28
0,50
0,1
0,27
0,5
0,3
0,410
0,2
0,163
0,25
0,38
0,23
0,63
0,54
0,19
0,119
0,0
0,23
0,35
0,7
0,30
0,12
0,65
0,12
0,1
0,3
0,85
0,20
0,362
0,39
0,0
0,4
1,255
1,1
1,5
1,46
1,25
1,1
1,4
1,0
1,11
1,0
1,0
1,0
1,0
1,3
1,2
1,454
1,2
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,21
1,18
1,36
1,2
1,0
1,1
1,30
1,1
1,3
1,1278
1,4
1,0
1,7
1,62
1,34
1,180
1,4
1,61
1,68
1,2
1,0
1,3
1,9
1,1
1,58
1,7
1,0
1,2
1,2
1,2
1,1
1,1
1,174
1,2
1,0
1,0
1,0
1,0
1,37
1,1
1,0
1,62
1,4
1,0
1,0
1,3
1,0
1,0
1,6
1,20
1,0
1,0
1,0
1,0
1,52
1,182
1,3
1,1
1,171
1,10
1,8
1,405
1,0
1,96
1,0
1,1
1,20
1,19
1,10
1,15
1,0
1,0
1,20
1,0
1,2
1,0
1,17
1,20
1,3
1,11
1,0
1,20
1,55
1,1
1,0
1,73
1,4
1,6
1,135
1,13
1,12
1,7
1,17
1,138
1,0
1,3
1,25
1,0
1,0
1,0
1,0
1,32
1,21
1,14
1,1
1,1
1,2
1,0
1,26
1,2
1,6
1,10
1,1
1,22
1,8
1,3
1,57
1,36
1,15
1,31
1,0
1,0
1,4
1,5
1,59
1,17
1,95
1,27
1,0
1,19
1,14
1,1
1,0
1,0
1,0
1,0
1,0
1,42
1,0
1,49
1,1211
1,0
1,0
1,0
1,0
1,0
1,1
1,7
1,4
1,8
1,19
1,40
1,183
1,22
1,46
1,0
1,0
1,159
1,2
1,150
1,48
1,28
1,1
1,3
1,44
1,7
1,22
1,4
1,1
1,1
1,15
1,13
1,0
1,1
1,105
1,11
1,317
1,6
1,13
1,73
1,97
1,0
1,179
1,161
1,12
1,64
1,0
1,121
1,269
1,135
1,42
1,0
1,34
1,6
1,0
1,38
1,1
1,24
1,11
1,8
1,3
1,4
1,7
1,3
1,18
1,483
1,3
1,113
1,117
1,4
1,45
1,0
1,0
1,1
1,12
1,9
1,129
1,2
1,4
1,7
1,0
1,2
1,2
1,0
1,2
1,3
1,19
1,7
1,0
1,90
1,0
1,46
1,140
1,50
1,0
1,0
1,0
1,0
1,2
1,3
1,0
1,0
1,0
1,0
1,26
1,12
1,349
1,0
1,0
1,0
1,3
1,44
1,31
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,94
1,0
1,66
1,80
1,40
1,42
1,144
1,74
1,12
1,23
1,7
1,5
1,37
1,0
1,0
1,1
1,0
1,0
1,8
1,3
1,0
1,22
1,10
1,6
1,13
1,22
1,15
1,1
1,10
1,2
1,21
1,91
1,26
1,19
1,9
1,0
1,219
1,2
1,69
1,32
1,1
1,0
1,49
1,21
1,20
1,355
1,35
1,239
1,145
1,306
1,196
1,253
1,62
1,11
1,0
1,0
1,5
1,69
1,29
1,0
1,2
1,0
1,19
1,33
1,9
1,13
1,0
1,327
1,5
1,0
1,0
1,8
1,480
1,67
1,0
1,0
1,6
1,8
1,24
1,141
1,13
1,33
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,86
1,128
1,4
1,4
1,44
1,624
1,3
1,0
1,38
1,0
1,0
1,2
1,8
1,11
1,12
1,1
1,21
1,23
1,1
1,1
1,5
1,0
1,75
1,20
1,0
1,1
1,13
1,11
1,44
1,0
1,1
1,0
1,0
1,16
1,115
1,73
1,22
1,88
1,2
1,72
1,17
1,89
1,44
1,220
1,39
1,117
1,237
1,6
1,63
1,0
1,50
1,3
1,54
1,30
1,53
1,68
1,40
1,540
1,23
1,768
1,65
1,11
1,1
1,106
1,0
1,38
1,0
1,8
1,20
1,39
1,35
1,35
1,0
1,21
1,4
1,46
1,6
1,6
1,1
1,4
1,0
1,31
1,0
1,0
1,23
1,54
1,6
1,16
1,1
1,2
1,3
1,7
1,8
1,0
1,1
1,8
1,20
